Repository,Papers,Founded,Country,Current Status,Active duration,"Ownership (non-profit, private, institution, government)","Funding (private, advertising, institutional, government grants)",Type of platform (Referatory vs Repository),"Resources copyright (Proprietary, CC)","Resources access and use (OA, OER)","Open vs Closed (i.e., are the resources and interactions visible without an account)","Community-driven (i.e., can users contribute to the repository)",Community-building tools,Notes,Link
SOFIA Sharing of Free Intellectual Assets,McGreal (2008),2004,USA,Discontinued 2020,16,Institutional,Institutional,Repository,CC,OER,Open,No,None,OCW,http://sofia.fhda.edu/
StartUP project,Lopez-Vargas et al. (2015),2013,"EU; Italy, Spain, Austria, Malta, UK",Discontinued 2016,3,Government,"Government Grant, Private",Repository,CC,OER,Open,No,None,Not a hub,http://www.startupproject.eu/
Temoa,Stagg et al. (2018),2011,Mexico,Discontinued 2020,7,Institutional,Institutional,Repository,CC,OER,"Open, Account",N/A,Discussions,,http://temoa.tec.mx/
The Repository of Online Language Learning Resources,Zervas and Sampson (2013),2010,Canada,Discontinued 2012,2,Private,Government,Both,Proprietary,OA,"Open, Account",N/A,N/A,,http://rollr.ca/
Traglor ,Zervas et al. (2014),2007,Turkey,Discontinued 2021,14,Private,Government,Both,CC,OA,"Open, Account",Yes,"Rating, comment",,http://traglor.cu.edu.tr/
Tufts Open Courseware,McGreal (2008),2005,USA,Discontinued 2018,13,Institutional,Institutional,Repository,CC,OER,Open,No,N/A,OCW,http://ocw.tufts.edu/
Tutela ,Zervas et al. (2014),2012,Canada,Active,11,Government,Government,N/A,CC,OER,"Closed, Account",N/A,"Add peers to Personal Learning Network, connect and share with other members",,https://tutela.ca/PublicHomePage
TxLOR ,Zervas et al. (2014),2013,USA,Discontinued 2014,1,Institutional,Institutional,Neither,N/A,N/A,Open,N/A,N/A,A list of repositories,http://txlor.org/
VCampus,Yalcinalp and Emiroglu (2012),2003,Italy,Discontinued 2012,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No links work,http://risorse.dei.polimi.it/vcampus
VideoLectures.net,Sunar et al. (2020),2007,EU; Slovenia,Active,16,Non-profit,"EU Grant, institutional, private",Repository,CC,OA,"Open, Account",No,"Ratings, share on socials",,http://videolectures.net/
Virtual Centre for Innovative Learning Technologies (VCILT) ; weSPOT,"Dagiene et al. (2018), Rodriguez-Triana (2014)",2011,Mauritius,Discontinued 2017,6,Institutional,Institutional,Neither,N/A,N/A,N/A,N/A,N/A,Not a hub,http://vcampus.uom.ac.mu/vcilt/ ; https://vcilt.uom.ac.mu/
Web-based inquiry science environment,Rodriguez-Triana (2014),1996,USA,Active,26,Institutional,"Institutional, government, private",Repository,CC,OER,"Open, Account",No,Community discussions,,https://wise.berkeley.edu/
Webcast UC Berkeley,McGreal (2008),,,"Closed community, redirects to  https://www.edx.org/",,,,,,,,,,,http://webcast.berkeley.edu/
Wikibooks,Cheung (2020),2004,USA,Active,19,Non-profit,Private,Wiki (N/A),CC,OER,"Open, Account",Yes,"Community portal, Edits",,https://en.wikibooks.org/wiki/Main_Page
Wisconsin Online Resource Center: Wisc-Online,"McGreal (2008), Yalcinalp and Emiroglu (2012), Zervas et al. (2014)",2000,USA,Active,23,Non-profit,Government,Repository,CC,OER,"Open, Account",Yes,"Follow users, Social activity",,http://www.wisc-online.com/
Wolfram Math World ,Zervas et al. (2014),1999,USA,Active,24,Private,Private,Repository,Proprietary,OA,"Open, Account",No,None,,http://mathworld.wolfram.com/
World Lecture Hall U. of Texas,McGreal (2008),2001,USA,Discontinued 2010,9,Institutional,Institutional,Referatory,N/A,N/A,N/A,Add resource,N/A,OCW,http://web.austin.utexas.edu/wlh/
Xplora ,Zervas et al. (2014),2006,EU,Active,17,Institutional,EU Grant,N/A,N/A,OA,"Open, Account",No,"Community, Forum","Inactive, incomplete, seemingly affiliated with Learning Resource Exchange (LRE) https://lreforschools.eun.org/",http://www.xplora.org/ww/en/pub/xplora/homepage.htm
,,,,,,,,,,,,,,,
Not available in wayback machine,,,,AVERAGE,12.28,,,,,,,,,,
A good example,,,,MIN,1.00,,,,,,,,,,
Not usable,,,,MAX,29.00,,,,,,,,,,
Couldn't find at the time due to WBM not working,,,,STDEV,6.66,,,,,,,,,,
,,,,AVEDEV,5.57,,,,,,,,,,
